Multi-Target Calibration Results
Mode,multi_target
Timestamp,2025-11-21T12:24:54.734169
Number of Targets,9
Number of Loops,4
Settling Time (s),1.5
Home X,0.2
Home Y,0.0
Home Z,0.1

TARGET DEFINITIONS
Index,Name,X,Y,Z,Description
21,3,3,3,0.2,-0.2,0.4,0.21073299646377563,-0.20004500448703766,0.3886150121688843,-0.010732996463775624,4.500448703764759e-05,0.011384987831115745,0.015646634986792755
22,3,4,4,0.0,0.2,0.4,0.01011900044977665,0.200437992811203,0.38885900378227234,-0.01011900044977665,-0.00043799281120299183,0.011140996217727683,0.015056819203559165
23,3,5,5,0.0,0.0,0.4,0.009643999859690666,0.0,0.3891330063343048,-0.009643999859690666,0.0,0.010866993665695213,0.014529221748737043
24,3,6,6,0.0,-0.2,0.4,0.010397999547421932,-0.20093800127506256,0.38851198554039,-0.010397999547421932,0.0009380012750625499,0.011488014459610008,0.01552329595171123
25,3,7,7,-0.2,0.2,0.4,-0.190202996134758,0.20052899420261383,0.38871699571609497,-0.009797003865242015,-0.0005289942026138195,0.011283004283905052,0.014952167243332511
26,3,8,8,-0.2,0.0,0.4,-0.19046500325202942,0.0003440000000409782,0.38878899812698364,-0.009534996747970592,-0.0003440000000409782,0.01121100187301638,0.014721449044866974
27,3,9,9,-0.2,-0.2,0.4,-0.19037100672721863,-0.2010989934206009,0.388278990983963,-0.009628993272781383,0.00109899342060088,0.01172100901603701,0.015208791876405373
28,4,1,1,0.2,0.2,0.4,0.21059900522232056,0.2011280059814453,0.3881469964981079,-0.010599005222320546,-0.0011280059814453014,0.011853003501892112,0.01594067129116027
29,4,2,2,0.2,0.0,0.4,0.20961299538612366,-0.0003150000120513141,0.3895550072193146,-0.009612995386123646,0.0003150000120513141,0.010444992780685447,0.014198830215542333
30,4,3,3,0.2,-0.2,0.4,0.20961099863052368,-0.2001650035381317,0.3894230127334595,-0.00961099863052367,0.00016500353813170276,0.01057698726654055,0.01429234691994582
31,4,4,4,0.0,0.2,0.4,0.010143999941647053,0.20006799697875977,0.38885900378227234,-0.010143999941647053,-6.799697875975452e-05,0.011140996217727683,0.015067420320966638
32,4,5,5,0.0,0.0,0.4,0.01116000022739172,-1.9999999949504854e-06,0.38892701268196106,-0.01116000022739172,1.9999999949504854e-06,0.011072987318038963,0.015721216785631924
33,4,6,6,0.0,-0.2,0.4,0.01027000043541193,-0.20013999938964844,0.3888149857521057,-0.01027000043541193,0.0001399993896484264,0.01118501424789431,0.015185422368115478
34,4,7,7,-0.2,0.2,0.4,-0.189860001206398,0.200204998254776,0.3891730010509491,-0.010139998793602,-0.00020499825477598987,0.010826998949050926,0.014835279102917515
35,4,8,8,-0.2,0.0,0.4,-0.19109800457954407,0.0002469999890308827,0.3883259892463684,-0.008901995420455944,-0.0002469999890308827,0.011674010753631614,0.014682951288358427
36,4,9,9,-0.2,-0.2,0.4,-0.19001799821853638,-0.20004500448703766,0.38899001479148865,-0.009982001781463634,4.500448703764759e-05,0.011009985208511375,0.014861431938431638

PER-TARGET STATISTICS
Target Name,Count,Mean Error X,Mean Error Y,Mean Error Z,Mean Euclidean,Std X,Std Y,Std Z,RMS Euclidean
1,4,-0.010152752697467793,-8.075237274168812e-05,0.011025005578994773,0.015001134219509694,0.0003291765597433654,0.0006169344187636154,0.0004833023026872053,0.015011935341548446
2,4,-0.010115745663642872,0.00017275000209338032,0.010848993062973045,0.014836182760498574,0.0003745110685261979,0.0001977806592174156,0.00031667037713875584,0.014843802047741555
3,4,-0.009971997886896122,0.0002485021948814281,0.010991239547729514,0.014844943795756347,0.0004619310467178633,0.00017030609701212306,0.0003239343611865495,0.014854533312145946
4,4,-0.010215500136837363,-0.00017974823713301502,0.011005000770092033,0.015018898062181497,0.00010030064384066928,0.00015001758907157755,0.00020984303149739711,0.015019167554104207
5,4,-0.01003574999049306,9.999999974752427e-07,0.010861741006374381,0.014795453418707404,0.0007964291188245998,9.999999974752427e-07,0.00019739881155957187,0.014811041934764518
6,4,-0.010194000089541078,0.0003969997167587169,0.011225008964538596,0.01517570888463344,0.00014886214094178516,0.0004714601695057974,0.00020788466694484807,0.015177737760214097
7,4,-0.009913501143455516,-0.00020624995231627308,0.011030496656894706,0.014842872051823875,0.00013537246420652644,0.0004895125016741874,0.00031673683718209256,0.014844196538690747
8,4,-0.009374999254941951,-0.00034049999521812424,0.011318252980709098,0.014707957942867854,0.000403201903621013,5.6579592878491996e-05,0.00024136676010320864,0.014708277694908154
9,4,-0.009939250349998485,0.0005092501640319713,0.011258998513221763,0.015043047457983403,0.0002613727529278819,0.0005265173662573211,0.00040054659973063326,0.015043904233999261


GLOBAL STATISTICS (All Targets Combined) STATISTICS
Metric,Mean,Std Dev,Min,Max,RMS
ERROR_X,-0.009990388579252694,0.0004596574558377976,-0.01116000022739172,-0.008901995420455944,0.010000957401227641
ERROR_Y,5.79168355948746e-05,0.00045816257572222225,-0.0011280059814453014,0.00109899342060088,0.00046180873274305327
ERROR_Z,0.011062748564614212,0.0003513722871950794,0.010444992780685447,0.011853003501892112,0.011068327257904985
EUCLIDEAN_ERROR,0.014918466510440234,0.0004238413757096208,0.013873793504720537,0.01594067129116027,0.014924486072722579
